x,y,z,vx,vy,vz,ax,ay,az,phi,ident
-26606.7656,-27055.2969,-26736.1016,154.436508,-130.482849,-302.118958,16.3874283,-17.7556515,-39.2765541,27983.3984,1198984
-25993.0352,-26727.6328,-27020.2031,163.002563,-107.673973,-330.742462,16.702179,-15.6979837,-44.6175461,11358.8936,1198988
-26819.875,-26299.0508,-27114.8164,177.502884,-109.711586,-295.882385,19.7959232,-15.6481228,-37.5340271,26569.3867,1198759
-27261.252,-25801.0195,-27113.832,180.363678,-102.669411,-283.657532,20.3421612,-14.3620386,-34.3803062,40152.4375,1198769
-26771.9336,-25763.7148,-26948.5547,181.063339,-95.5036316,-283.505341,19.6935692,-13.2265472,-35.6844635,34245.6562,1198773
-26122.8125,-26253.7012,-27371.6016,195.339035,-104.872627,-325.650208,22.8410053,-15.2517805,-43.6421165,4828.37109,1198979
-26231.9023,-25797.002,-27084.5781,186.527359,-93.9432907,-303.138794,20.3726482,-13.1073837,-39.5709114,19555.5195,1198993
-25709.8652,-25847.5625,-26858.7891,180.303436,-66.0878143,-319.103729,16.5551014,-7.09570169,-42.146904,17540.0898,1198990
-27264.4355,-27197.4023,-25893.2617,136.14418,-139.386398,-261.19986,13.7434282,-17.6907063,-32.4106865,61960.7305,1198765
-26731.2559,-26906.4297,-25947.0059,139.424347,-120.585846,-270.025421,13.462347,-15.9068661,-33.9739723,54390.9531,1198985
-25845.3281,-26709.1016,-26240.2793,48.3158379,-78.3435898,-268.146729,101.90918,-32.5125275,-58.1442909,33838.293,681
-25817.6133,-26715.1445,-26246.9668,90.5193558,-113.392654,-318.399261,-79.018486,6.31025934,-15.6274834,33369.2852,653
-25738.877,-26632.0234,-26093.8457,94.8577271,-101.836823,-293.281647,10.7143183,-12.6122675,-34.3467598,39676.0586,1199017
-25685.0059,-26600.6406,-26002.1836,94.6046143,-109.30278,-311.073303,14.1124191,-3.58359265,-21.2636509,41795.7188,649
-26054.7363,-26631.8809,-25861.2344,142.735794,-101.552132,-274.695923,11.7618246,-13.9073486,-35.9979668,50254.2461,1198989
-27363.2578,-26310.8223,-26171.3652,160.653,-105.408035,-256.073914,16.3410072,-14.0729914,-31.9773731,62434.7422,1198762
-27011.5469,-25911.8105,-26185.0488,163.330002,-62.1607704,-268.875854,16.7658043,7.15451813,-19.1785374,56288.7891,1198767
-27006.1523,-25860.0488,-26142.8145,147.07962,-47.5282059,-247.091278,5.15621471,10.6518183,-33.4064026,56443.8984,1198766
-27021.1387,-25799.5859,-26140.9727,151.180115,-145.709091,-212.493484,-7.92104244,-64.8093491,58.1451225,54727.5742,1198781
-27025.832,-25805.3027,-26126.9277,149.766479,-83.167717,-298.714142,49.7120171,7.84516096,-115.068321,55018.6758,1198780
-26553.457,-25964.2227,-26438.1875,156.519547,-82.6179504,-275.579468,15.8109226,-11.8064861,-34.7066803,42913.1484,1198986
-26660.9238,-26049.834,-26180.5078,145.788803,-82.2589417,-284.544678,14.4645491,-11.0989952,-34.8767128,51354.0781,1198987
-27222.3848,-25750.0195,-26017.0547,185.163071,-95.3809662,-269.908295,20.7598324,-13.3891821,-33.3405533,66826.4922,1198777
-27025.6211,-25775.7012,-26051.2109,189.388016,-107.10598,-280.733276,16.1494961,-20.7927799,-51.7693558,60875.6406,1198776
-25822.2422,-25919.4414,-26030.4824,153.333267,-66.7630768,-289.431702,11.0616169,-8.31468487,-37.7768211,45953.082,1198991
-25910.2285,-25723.1621,-25801.2676,86.2395935,-58.5742188,-292.326172,11.6569967,-8.75670528,-35.9450455,54458.8203,710
-25364.793,-27276.2969,-27178.3477,40.2853699,-130.843094,-443.550964,-31.6676292,-10.1806002,-42.9134026,-7722.11426,905
-25418.8535,-27284.9199,-27150.8184,36.1743927,-158.142624,-342.98288,49.5812683,45.9774551,-103.342583,-6993.86865,909
-25408.1992,-27258.8281,-27168.3379,21.7399902,-123.889305,-382.358765,8.59467411,-90.3155746,-19.2143345,-7926.60303,685
-24823.6582,-27326.9668,-27049.7637,-7.17155218,-101.177231,-354.976288,1.10364473,-12.0099859,-49.7447739,747.901794,826
-25569.6074,-27355.3438,-26614.7578,123.831322,-136.064056,-332.760498,8.76679516,-20.3777275,-50.253994,17417.2773,1198910
-24417.002,-27133.7695,-27284.5,-157.390625,-31.8667984,-316.212036,-21.1991787,17.5597591,10.1921787,-9659.64844,2595
-24464.1094,-27132.0996,-27237.1973,-180.923065,7.80921793,-320.16449,49.8184128,35.8454857,5.25745726,-10637.1963,2609
-24421.7051,-27140.9531,-27183.3945,-108.359451,-32.8791771,-389.240967,-24.0399456,83.2934799,25.687561,-10698.5762,2566
-24463.2168,-27096.1855,-27196.3242,-189.747635,-25.6828709,-336.742065,99.157402,-15.4427462,-41.2197571,-11337.0518,2567
-24421.6602,-27103.3535,-27224.3164,-104.298798,21.6581383,-314.248047,-42.8435516,12.5684299,21.3468494,-12097.332,2581
-24427.5781,-27071.5703,-27176.9531,-62.1787376,-101.255554,-245.485382,-2.91386604,-61.1005898,-153.90448,-12124.7783,2594
-24404.0234,-27044.3359,-27246.416,-96.0837555,-87.0794601,-238.333694,-41.3692284,41.6498947,-32.429142,-11394.7031,2608
-24406.1387,-27021.3672,-27254.2324,-52.1467323,-27.721262,-267.626892,-8.1545763,-145.143951,16.3385563,-10502.5,2173
-24426.0352,-27065.416,-27199.4219,-53.0474701,-100.171417,-364.380615,-17.1913395,-106.323296,40.4099503,-12700.3428,2159
-24468.3789,-27163.2188,-27149.8496,-74.5712967,-23.0856419,-389.655853,51.583931,48.1865234,-71.2441864,-6566.16016,2155
-24419.7793,-27130.6328,-27149.2949,-56.3844681,-66.5561905,-321.467651,42.4123077,91.0395813,-76.3302689,-11388.0439,2598
-24395.9922,-27128.7227,-27136.7402,-72.4447327,-44.5846901,-390.714935,-163.830139,31.6898155,-137.414001,-8380.88379,2612
-24423.834,-27100.9062,-27143.2383,-80.5936356,-23.390974,-301.23819,26.8771839,-117.923965,-129.753036,-10138.5547,2599
-24414.9316,-27144.4707,-27074.9473,-92.4947433,-49.1900635,-285.706909,-8.34017372,11.2889881,-106.435738,-1527.76709,2127
-24387.1992,-27031.7051,-27115.5234,-68.3106995,-39.3270912,-323.410614,-24.8049412,-47.2853699,-79.4813538,-2784.63354,2613
-24223.6816,-26985.3574,-27085.2852,-29.4442902,-91.6543655,-367.000244,-19.1811028,-13.9088793,-48.6354828,4409.521,830
-24114.1973,-26622.9219,-27027.9219,-79.5663147,-76.0941849,-325.550812,-9.60773182,-15.8912897,-42.3720703,10370.8262,2586
-24396.5996,-26957.2637,-26873.5957,13.2186909,-103.009254,-366.138885,-1.15639234,-13.2380085,-52.7763443,10895.3096,937
-24273.0723,-26750.957,-26769.1133,-82.4828186,-104.491089,-304.474579,4.04984045,-15.253253,-49.667511,16822.1895,2615
-24133.9863,-26753.0684,-26865.0703,-78.9969559,-68.1617508,-404.365601,60.5730095,-67.7853775,-7.20024633,12336.0352,2728
-24110.4258,-26773.5059,-26853.3379,-30.5553741,-92.5820084,-352.745911,-34.5775108,31.3043423,-53.563221,12303.4141,2701
-24081.6035,-26804.5352,-26773.8652,-102.8535,-35.0820084,-288.30954,20.0870361,-16.7478905,62.1599846,13679.1729,2697
-24081.2812,-26809.3379,-26756.7871,-46.5716972,-110.860588,-394.476166,52.2364464,53.2569084,-137.051498,14230.6006,2590
-24061.6172,-26773.0957,-26844.584,-22.6399727,-78.8607101,-297.59906,-47.7575989,-16.9932213,-31.5893402,14444.4004,941
-24052.584,-26793.7344,-26747.7305,-79.8730011,-124.536842,-341.553619,-106.900841,-55.4789391,-103.723427,17165.9883,2618
-25532.5059,-26210.6484,-27168.752,110.550461,-71.308548,-367.93045,13.9541168,-11.9281473,-51.8549004,2248.42969,648
-25567.0898,-25774.8867,-27211.2441,193.733185,-94.8848038,-331.922668,16.3194294,-14.6969471,-48.279026,3954.57983,1198997
-25454.8379,-25685.4531,-27381.918,105.631752,-84.2014008,-384.949432,13.6989899,-18.4888973,-49.2083511,-2981.39136,650
-25178.3379,-26000.0176,-27229.166,12.7119856,-80.357132,-383.267548,4.30046558,-14.0223713,-53.0920448,-780.077759,911
-25626.3555,-26436.5039,-26928.4844,152.016312,-80.1977081,-337.846619,14.02915,-10.7935429,-47.1203461,11657.1562,1199016
-25534.2051,-26303.3418,-26935.4512,118.820251,-76.717186,-353.675903,10.2960033,-13.4552765,-48.2615013,11144.1982,1199020
-25666.8301,-25697.332,-26867.084,37.1016731,-36.5659485,-345.083862,17.3246708,-11.4742985,-39.581768,17218.6191,907
-25390.4492,-25716.5117,-26784.6953,140.342346,-78.3858719,-317.379913,2.23417091,-6.54409885,-46.0632744,17996.6953,1199036
-24357.1699,-26255.1562,-27353.7422,-131.367523,-119.629509,-344.050018,-8.30870533,-9.77937222,-49.1980209,-4386.26855,2723
-24363.2812,-26177.3848,-27324.5273,-95.2927856,-89.9770508,-343.41452,-5.34634066,-24.3627834,-52.6519127,-2518.76587,2724
-24092.957,-26109.9941,-27080.7285,-29.1729755,-93.0390244,-357.96756,-20.7689972,-10.5398693,-46.3478127,10981.9326,943
-24331.1211,-26036.7773,-27181.002,9.48252773,-89.788559,-374.933655,-2.8700273,-15.6112165,-47.8614655,5039.75342,939
-24160.1914,-26104.3027,-27087.8789,-32.8731194,-82.8650436,-372.093628,6.05238485,-13.1429987,-44.9508972,9712.08691,2699
-25155.1875,-27378.8145,-25973.4629,7.55454493,-134.673248,-306.641418,2.85784006,-15.9003668,-39.0485039,39903.9609,964
-25667.5195,-26578.9043,-25961.8418,122.720177,-96.2874374,-292.190521,-3.10975862,-25.7842617,-61.4832153,43398.3633,1199021
-24058.7461,-27010.6289,-26457.9199,-39.6615906,-77.8447952,-332.093262,49.2841759,11.8686657,-32.0963554,29742.1191,2591
